PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,,
180,9/19/24,15:20:28,10,3,"Cosper, Cade",90000243869,Right,MER_BEA,LiveAB,10001993,Right,MER_BEA,Undefined,1,Top,1,1,1,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,79.77798,0.759467,-2.398464,2090.175884,64.014495,8:15,4.70568,1.03575,5.22149,-47.24814,-2.21394,-7.36453,1.48308,-1.83438,73.40717,-7.804488,-3.702856,0.482995,,,,,,,,,,,,3.00705,-0.87689,-0.80858,50,4.74038,5.14978,-115.73429,-0.15107,4.08016,21.51743,-33.36385,MER_BEA,MER_BEA,MercerUniversity,TeamExclusive,Team,20240919-MercerUniversity-Private-1,3ae80c70-76bc-11ef-a93d-79a75762a6fc,78.03899,,,6.37081,,,,,,,b0d043aa-ff66-4445-909c-9bbe98edb212,9/19/24,19:20:28,2024-09-19T15:20:27.9098738-04:00,2024-09-19T19:20:27.9098738Z,,v3,471354,471354,,,,Undefined,MER_BEA,a2ec24a3-604b-4214-b895-eea44a8da665,55.28071,-116.71195,10.75871,4.71281,1.36485,-16.68193,-1.03835,4.96439,2.04008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,
181,9/19/24,15:20:45,10,4,"Cosper, Cade",90000243869,Right,MER_BEA,LiveAB,10001993,Right,MER_BEA,Undefined,1,Top,1,2,1,Slider,Curveball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,78.97856,0.39289,-0.594965,2063.549191,34.408419,7:15,4.58943,1.14735,5.0003,-50.24081,-4.63248,-3.99697,0.77365,0.25255,73.74816,-8.629548,-1.302044,0.486064,,,,,,,,,,,,1.84536,-2.01465,-1.08675,50,4.58595,1.35596,-114.84005,-1.05329,2.50155,18.26023,-34.90511,MER_BEA,MER_BEA,MercerUniversity,TeamExclusive,Team,20240919-MercerUniversity-Private-1,44e2faf0-76bc-11ef-a93d-79a75762a6fc,77.54626,,,5.2304,,,,,,,b0d043aa-ff66-4445-909c-9bbe98edb212,9/19/24,19:20:45,2024-09-19T15:20:44.6743410-04:00,2024-09-19T19:20:44.6743410Z,,v3,471354,471354,,,,Undefined,MER_BEA,6ac3e800-be30-464d-97a8-e3355f318a62,55.50447,-115.71198,9.13012,4.59645,0.61344,-17.45256,-1.14865,1.23651,1.25078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,
182,9/19/24,15:21:07,10,5,"Cosper, Cade",90000243869,Right,MER_BEA,LiveAB,10001993,Right,MER_BEA,Undefined,1,Top,1,2,2,Slider,Curveball,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,78.56004,0.210087,-0.204098,2131.567475,55.628078,7:45,4.60535,1.23598,5.03428,-51.57243,-4.68729,-9.04792,0.50587,0.28943,72.1403,-9.098233,-1.806166,0.492821,,,,,,,,,,,,4.42118,-1.91488,-1.20893,50,4.58402,0.78024,-114.0036,-1.45298,5.79337,21.80504,-34.68328,MER_BEA,MER_BEA,MercerUniversity,TeamExclusive,Team,20240919-MercerUniversity-Private-1,52427130-76bc-11ef-a93d-79a75762a6fc,76.48304,,,6.41974,,,,,,,b0d043aa-ff66-4445-909c-9bbe98edb212,9/19/24,19:21:07,2024-09-19T15:21:07.1311218-04:00,2024-09-19T19:21:07.1311218Z,,v3,471354,471354,,,,Undefined,MER_BEA,af95a8fe-5f78-45d1-8b7f-40f031f2a1a5,55.46814,-115.04471,10.90252,4.61386,0.20303,-17.34164,-1.23958,0.50363,2.89669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,
183,9/19/24,15:21:21,11,1,"Cosper, Cade",90000243869,Right,MER_BEA,LiveAB,10001993,Right,MER_BEA,Undefined,1,Top,2,0,0,ChangeUp,Changeup,BallinDirt,Undefined,Undefined,Undefined,0,0,,82.31526,-2.214368,-2.40509,1991.685401,241.341362,2:00,4.44082,1.36383,5.75719,-33.17817,8.38827,12.89513,-0.38817,0.19827,75.58315,-8.326713,-0.094436,0.464026,,,,,,,,,,,,-7.27268,5.29965,-1.17228,50,4.23672,4.50989,-119.39785,-5.69363,-10.48239,23.32055,-24.53548,MER_BEA,MER_BEA,MercerUniversity,TeamExclusive,Team,20240919-MercerUniversity-Private-1,5aa7cb90-76bc-11ef-a93d-79a75762a6fc,81.22907,,,6.73211,,,,,,,b0d043aa-ff66-4445-909c-9bbe98edb212,9/19/24,19:21:21,2024-09-19T15:21:21.2407154-04:00,2024-09-19T19:21:21.2407154Z,,v3,471354,471354,,,,Undefined,MER_BEA,ec64bb11-0fd5-4b58-a432-fbbe1d5b5e95,54.74456,-120.32098,11.66028,4.44287,-4.72241,-12.26774,-1.35902,4.92483,-5.2412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,
184,9/19/24,15:21:38,11,2,"Cosper, Cade",90000243869,Right,MER_BEA,LiveAB,10001993,Right,MER_BEA,Undefined,1,Top,2,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,88.00589,-1.490811,-4.179072,2151.634169,215.369926,1:15,4.59284,1.29889,5.92321,-25.05108,10.89347,6.97367,1.11781,-2.00496,81.08404,-6.142876,-2.931383,0.431507,,,,,,,,,,,,-4.72347,6.29473,-0.96802,50,4.45879,9.0512,-127.62824,-4.14553,-7.8397,24.73039,-21.72648,MER_BEA,MER_BEA,MercerUniversity,TeamExclusive,Team,20240919-MercerUniversity-Private-1,647da5e0-76bc-11ef-a93d-79a75762a6fc,87.35068,,,6.92185,,,,,,,b0d043aa-ff66-4445-909c-9bbe98edb212,9/19/24,19:21:38,2024-09-19T15:21:37.8242930-04:00,2024-09-19T19:21:37.8242930Z,,v3,471354,471354,,,,Undefined,MER_BEA,028f85e0-5071-444d-8645-cb0b193a83ae,54.58074,-128.51278,12.3652,4.59317,-3.36843,-10.86324,-1.29677,9.3316,-3.91985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,
185,9/19/24,15:22:00,11,3,"Cosper, Cade",90000243869,Right,MER_BEA,LiveAB,10001993,Right,MER_BEA,Undefined,1,Top,2,2,0,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,81.10828,-0.125212,-2.548606,1979.745797,239.451529,2:00,4.48994,1.2906,5.33191,-35.21569,8.37182,11.74611,1.4377,-0.12349,73.99693,-6.598616,-0.463248,0.475174,,,,,,,,,,,,-6.578,4.68492,-1.06873,50,4.45361,4.73991,-117.57344,-1.46194,-9.17583,23.01176,-25.63892,MER_BEA,MER_BEA,MercerUniversity,TeamExclusive,Team,20240919-MercerUniversity-Private-1,71f02ef0-76bc-11ef-a93d-79a75762a6fc,79.32348,,,7.11135,,,,,,,b0d043aa-ff66-4445-909c-9bbe98edb212,9/19/24,19:22:00,2024-09-19T15:22:00.2648946-04:00,2024-09-19T19:22:00.2648946Z,,v3,471354,471354,,,,Undefined,MER_BEA,302e6130-6930-4e51-bd1d-6862f93c0195,55.16731,-118.58048,11.50588,4.49303,-0.33992,-12.81946,-1.28495,5.14146,-4.58792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,
186,9/19/24,15:22:12,11,4,"Cosper, Cade",90000243869,Right,MER_BEA,LiveAB,10001993,Right,MER_BEA,Undefined,1,Top,2,3,0,Fastball,Sinker,InPlay,Undefined,FlyBall,Undefined,0,0,,89.45305,-0.500548,-1.383384,2087.716689,224.397027,1:30,4.81785,1.04027,5.61211,-24.17206,10.87229,9.63174,2.33615,0.5514,82.28647,-4.982687,0.336465,0.426069,92.28234,35.81071,7.93782,4190.797203,107.72147,72.76239,22.27194,325.60476,292.6048,19.614982,5.192093,-5.26874,5.95748,-0.92849,50,4.75945,2.72507,-129.98579,-1.97917,-9.07219,25.61176,-21.9159,MER_BEA,MER_BEA,MercerUniversity,TeamExclusive,Team,20240919-MercerUniversity-Private-1,7899f6a0-76bc-11ef-a93d-79a75762a6fc,88.46549,94.78503,,7.16658,,,,0.88747,2.41322,-0.52478,b0d043aa-ff66-4445-909c-9bbe98edb212,9/19/24,19:22:12,2024-09-19T15:22:11.5122034-04:00,2024-09-19T19:22:11.5122034Z,FlyBall,v3,471354,471354,,,,Undefined,MER_BEA,d615c4e7-63e9-4369-825f-3f10e5faf2dc,54.89039,-130.94582,12.80588,4.81824,-1.15767,-10.95795,-1.03701,3.06513,-4.5361,207.375102,0.88915,108.67803,-23.48911,5.79544,-1.22397,0.23045,-0.03647,0.00393,-0.00019,2.41525,79.14689,-19.04219,0.80557,0.24535,-0.17082,0.04549,-0.00577,0.00028,-0.52513,15.16595,3.93626,-1.32268,0.32106,-0.05554,0.00612,-0.00039,1.00E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,,,
187,9/19/24,15:22:35,12,1,"Cosper, Cade",90000243869,Right,MER_BEA,LiveAB,10001993,Right,MER_BEA,Undefined,1,Top,2,0,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,90.30762,-1.232665,-1.691793,2154.685068,211.552148,1:00,4.84513,1.10345,5.76175,-17.66237,16.90056,9.6763,2.22523,0.33463,82.1792,-4.58251,0.040048,0.423133,,,,,,,,,,,,-5.30685,9.24776,-0.96853,50,4.73205,3.42117,-130.99018,-3.35141,-9.19657,28.34026,-16.14809,MER_BEA,MER_BEA,MercerUniversity,TeamExclusive,Team,20240919-MercerUniversity-Private-1,866e75d0-76bc-11ef-a93d-79a75762a6fc,89.07948,,,8.12842,,,,,,,b0d043aa-ff66-4445-909c-9bbe98edb212,9/19/24,19:22:35,2024-09-19T15:22:34.7073394-04:00,2024-09-19T19:22:34.7073394Z,,v3,471354,471354,,,,Undefined,MER_BEA,26ba144f-e286-4e28-a88d-c740c0a98c57,54.73439,-132.01051,14.17013,4.84225,-2.77003,-8.07405,-1.09766,3.75228,-4.59829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,
188,9/19/24,15:22:58,12,2,"Cosper, Cade",90000243869,Right,MER_BEA,LiveAB,10001993,Right,MER_BEA,Undefined,1,Top,2,0,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,89.86354,-1.17009,-2.440491,2133.232906,214.895601,1:15,4.96497,1.03487,5.657,-21.55143,13.27457,8.5102,2.07662,-0.53339,82.39651,-5.190422,-0.921129,0.42474,,,,,,,,,,,,-5.00429,7.38473,-0.8337,50,4.85219,5.19402,-130.44342,-3.39416,-8.64932,26.63528,-19.4104,MER_BEA,MER_BEA,MercerUniversity,TeamExclusive,Team,20240919-MercerUniversity-Private-1,94632730-76bc-11ef-a93d-79a75762a6fc,88.74234,,,7.46704,,,,,,,b0d043aa-ff66-4445-909c-9bbe98edb212,9/19/24,19:22:58,2024-09-19T15:22:58.1563250-04:00,2024-09-19T19:22:58.1563250Z,,v3,471354,471354,,,,Undefined,MER_BEA,ce8c0caa-47fd-4499-9048-66546f60a216,54.84512,-131.42902,13.31764,4.9645,-2.67591,-9.7052,-1.03182,5.51407,-4.32466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,
189,9/19/24,15:23:25,12,3,"Cosper, Cade",90000243869,Right,MER_BEA,LiveAB,10001993,Right,MER_BEA,Undefined,1,Top,2,0,2,Fastball,Cutter,BallCalled,Undefined,Undefined,Undefined,0,0,,90.12702,-0.342009,-2.579225,2130.125791,177.943003,12:00,4.74657,1.11475,5.83449,-25.99183,8.87445,-0.27543,2.26235,-1.30728,81.6025,-5.195901,-2.628527,0.424986,,,,,,,,,,,,-0.65583,5.01366,-0.90403,50,4.70362,5.89648,-130.62302,-1.67331,-1.12143,30.15976,-23.60094,MER_BEA,MER_BEA,MercerUniversity,TeamExclusive,Team,20240919-MercerUniversity-Private-1,a4b158f0-76bc-11ef-a93d-79a75762a6fc,88.69109,,,8.52452,,,,,,,b0d043aa-ff66-4445-909c-9bbe98edb212,9/19/24,19:23:25,2024-09-19T15:23:25.4904178-04:00,2024-09-19T19:23:25.4904178Z,,v3,471354,471354,,,,Undefined,MER_BEA,a257f174-1587-4dab-921e-4f3e7e9b61b4,54.66226,-131.69509,15.07988,4.74819,-0.83437,-11.80047,-1.11433,5.93635,-0.56072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,
190,9/19/24,15:23:39,12,4,"Cosper, Cade",90000243869,Right,MER_BEA,LiveAB,10001993,Right,MER_BEA,Undefined,1,Top,2,1,2,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,82.20423,0.31465,-0.817559,1937.586389,247.326572,2:15,4.57859,1.21176,5.56945,-35.51903,6.66,12.50867,1.91263,1.49037,74.68237,-6.250058,1.415461,0.467433,,,,,,,,,,,,-6.51311,3.73225,-1.14939,50,4.58278,1.17894,-119.25233,-0.54374,-9.29738,24.79873,-26.84634,MER_BEA,MER_BEA,MercerUniversity,TeamExclusive,Team,20240919-MercerUniversity-Private-1,acab4750-76bc-11ef-a93d-79a75762a6fc,80.63702,,,7.52187,,,,,,,b0d043aa-ff66-4445-909c-9bbe98edb212,9/19/24,19:23:39,2024-09-19T15:23:38.8063090-04:00,2024-09-19T19:23:38.8063090Z,,v3,471354,471354,,,,Undefined,MER_BEA,87ff14b1-e468-4e1a-b365-6005d3f70140,54.9292,-120.273,12.39936,4.58242,0.5612,-13.42317,-1.20579,1.5616,-4.64869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,
191,9/19/24,15:26:51,12,5,"Ewaldsen, Collin",10091945,Right,MER_BEA,LiveAB,10001993,Right,MER_BEA,Undefined,1,Top,2,2,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,93.51706,-0.823802,-3.239984,2539.452916,193.702577,12:30,4.20873,1.16281,7.10782,-12.81422,18.08151,4.14481,2.39219,-1.43457,84.4105,-3.365733,-2.480873,0.400056,,,,,,,,,,,,-3.20181,10.19827,-0.97099,50,4.15454,7.51812,-135.72066,-2.18565,-5.89742,33.16945,-13.38974,MER_BEA,MER_BEA,MercerUniversity,TeamExclusive,Team,20240919-MercerUniversity-Private-1,1f0a25f0-76bd-11ef-a93d-79a75762a6fc,94.21796,,,9.10656,,,,,,,b0d043aa-ff66-4445-909c-9bbe98edb212,9/19/24,19:26:51,2024-09-19T15:26:50.7813746-04:00,2024-09-19T19:26:50.7813746Z,,v3,471354,471354,,,,Undefined,MER_BEA,29a3f829-c116-44e9-86dc-a0dd4b1bbd04,53.38878,-136.54635,16.58472,4.2048,-1.85233,-6.69487,-1.15996,7.66493,-2.94871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,
192,9/19/24,15:27:05,12,6,"Ewaldsen, Collin",10091945,Right,MER_BEA,LiveAB,10001993,Right,MER_BEA,Undefined,1,Top,2,3,2,Fastball,Four-Seam,BallCalled,Walk,Undefined,Undefined,0,0,,93.7049,-0.277957,-2.476424,2445.845374,172.625488,11:45,4.1427,1.18711,7.15509,-11.07623,19.92285,-2.42677,2.96748,-1.26135,83.72746,-2.524418,-2.92161,0.400725,,,,,,,,,,,,0.41283,11.00406,-1.04174,50,4.12134,5.97909,-135.9514,-0.79917,0.75468,36.26787,-12.05824,MER_BEA,MER_BEA,MercerUniversity,TeamExclusive,Team,20240919-MercerUniversity-Private-1,2759fc80-76bd-11ef-a93d-79a75762a6fc,94.06072,,,9.97745,,,,,,,b0d043aa-ff66-4445-909c-9bbe98edb212,9/19/24,19:27:05,2024-09-19T15:27:04.6655858-04:00,2024-09-19T19:27:04.6655858Z,,v3,471354,471354,,,,Undefined,MER_BEA,23477935-1445-4925-9191-4528ecd4b56d,53.33842,-136.83909,18.13393,4.13729,-0.50403,-6.02912,-1.18786,5.96061,0.37734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,
193,9/19/24,15:27:20,13,1,"Ewaldsen, Collin",10091945,Right,MER_BEA,LiveAB,10001993,Right,MER_BEA,Undefined,1,Top,2,0,0,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,93.14975,-0.292145,-1.497004,2556.420687,174.999584,11:45,4.15355,1.15406,6.99115,-12.6193,18.78907,-1.54307,2.83619,-0.33612,83.55243,-2.810849,-1.779556,0.403361,,,,,,,,,,,,0.30665,10.36945,-1.06182,50,4.13017,3.59764,-135.24827,-0.90968,0.55709,34.77921,-13.33585,MER_BEA,MER_BEA,MercerUniversity,TeamExclusive,Team,20240919-MercerUniversity-Private-1,30ba7fc0-76bd-11ef-a93d-79a75762a6fc,93.44588,,,9.59732,,,,,,,b0d043aa-ff66-4445-909c-9bbe98edb212,9/19/24,19:27:20,2024-09-19T15:27:20.4661106-04:00,2024-09-19T19:27:20.4661106Z,,v3,471354,471354,,,,Undefined,MER_BEA,854d006f-d9d5-40d2-9427-56f7ca65fdea,53.50382,-136.1463,17.3896,4.14921,-0.56534,-6.66793,-1.15453,3.58326,0.27854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,
194,9/19/24,15:27:58,13,2,"Ewaldsen, Collin",10091945,Right,MER_BEA,LiveAB,10001993,Right,MER_BEA,Undefined,1,Top,2,0,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,94.49974,-0.905047,-0.971084,2544.301997,178.919037,12:00,4.22675,1.37668,6.83783,-9.59508,21.14592,-0.37728,2.60156,0.45951,84.61122,-2.863026,-1.039993,0.399053,,,,,,,,,,,,-0.13193,11.66367,-1.31439,50,4.16324,2.34089,-137.11542,-2.26037,-0.24629,35.84141,-10.40306,MER_BEA,MER_BEA,MercerUniversity,TeamExclusive,Team,20240919-MercerUniversity-Private-1,47497e30-76bd-11ef-a93d-79a75762a6fc,94.45476,,,9.88852,,,,,,,b0d043aa-ff66-4445-909c-9bbe98edb212,9/19/24,19:27:58,2024-09-19T15:27:58.3207282-04:00,2024-09-19T19:27:58.3207282Z,,v3,471354,471354,,,,Undefined,MER_BEA,b5de4d1a-a860-4291-a884-37e3abc06620,53.65386,-138.06722,17.92071,4.2196,-1.98411,-5.20153,-1.37664,2.34743,-0.12314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,
195,9/19/24,15:28:22,13,3,"Ewaldsen, Collin",10091945,Right,MER_BEA,LiveAB,10001993,Right,MER_BEA,Undefined,1,Top,2,0,2,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,81.99259,3.045918,1.661753,2654.363516,89.322678,9:00,4.08982,1.26598,5.82594,-41.21372,1.37205,-18.31678,3.49093,1.28491,73.35891,-4.6163,-1.618374,0.469682,,,,,,,,,,,,9.75497,0.21669,-1.39162,50,4.31554,-2.6808,-118.67737,4.94139,13.62623,27.0683,-31.87134,MER_BEA,MER_BEA,MercerUniversity,TeamExclusive,Team,20240919-MercerUniversity-Private-1,55740ca0-76bd-11ef-a93d-79a75762a6fc,80.251,,,8.63367,,,,,,,b0d043aa-ff66-4445-909c-9bbe98edb212,9/19/24,19:28:22,2024-09-19T15:28:21.9533682-04:00,2024-09-19T19:28:21.9533682Z,,v3,471354,471354,,,,Undefined,MER_BEA,f1e708ad-6c15-45c3-97a4-78f28678d656,54.67196,-119.73823,13.53415,4.0974,6.19049,-15.93567,-1.27609,-3.21484,6.81311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,
196,9/19/24,15:28:37,13,4,"Ewaldsen, Collin",10091945,Right,MER_BEA,LiveAB,10001993,Right,MER_BEA,Undefined,1,Top,2,1,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,93.29455,-2.043552,-1.517442,2481.644749,193.760463,12:30,4.13337,1.19088,6.86925,-12.43867,18.8719,4.3489,1.23274,0.16986,84.24102,-4.505307,-0.722697,0.402733,,,,,,,,,,,,-2.76721,10.95445,-1.09562,50,3.99815,3.41355,-135.45404,-5.07653,-5.07178,33.31434,-12.09644,MER_BEA,MER_BEA,MercerUniversity,TeamExclusive,Team,20240919-MercerUniversity-Private-1,5e90f730-76bd-11ef-a93d-79a75762a6fc,93.5917,,,9.05353,,,,,,,b0d043aa-ff66-4445-909c-9bbe98edb212,9/19/24,19:28:37,2024-09-19T15:28:37.3363058-04:00,2024-09-19T19:28:37.3363058Z,,v3,471354,471354,,,,Undefined,MER_BEA,420895d1-532a-483b-b928-19abb99e21e0,53.62857,-136.34355,16.65717,4.12938,-4.75355,-6.04822,-1.18857,3.54897,-2.53589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,
197,9/19/24,15:28:57,13,5,"Ewaldsen, Collin",10091945,Right,MER_BEA,LiveAB,10001993,Right,MER_BEA,Undefined,1,Top,2,2,2,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,81.18461,3.352923,2.117704,2640.1626,88.1643,9:00,4.18301,1.29507,5.70917,-42.88813,1.22028,-17.61292,3.73867,1.80132,71.88559,-4.625848,-1.027842,0.478004,,,,,,,,,,,,9.50252,0.03736,-1.46241,50,4.43903,-3.58116,-117.26641,5.42309,12.83827,28.32125,-32.12357,MER_BEA,MER_BEA,MercerUniversity,TeamExclusive,Team,20240919-MercerUniversity-Private-1,6a63b2f0-76bd-11ef-a93d-79a75762a6fc,78.85374,,,9.29901,,,,,,,b0d043aa-ff66-4445-909c-9bbe98edb212,9/19/24,19:28:57,2024-09-19T15:28:57.1378034-04:00,2024-09-19T19:28:57.1378034Z,,v3,471354,471354,,,,Undefined,MER_BEA,3bd19e9b-c419-4594-8af9-de9c0474d3d1,54.78551,-118.41652,14.16062,4.19231,6.72762,-16.06179,-1.30639,-4.10252,6.41914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,
198,9/19/24,15:29:22,13,6,"Ewaldsen, Collin",10091945,Right,MER_BEA,LiveAB,10001993,Right,MER_BEA,Undefined,1,Top,2,3,2,Fastball,Four-Seam,BallCalled,Walk,Undefined,Undefined,0,0,,94.60997,-2.270309,-1.405964,2466.380542,186.00268,12:15,4.21212,1.23731,6.83608,-9.37989,21.30292,2.11878,1.35813,0.13131,84.86354,-4.181393,-1.019073,0.398675,,,,,,,,,,,,-1.58036,12.31284,-1.14772,50,4.06189,3.28036,-137.25273,-5.55964,-2.95491,35.99131,-9.15175,MER_BEA,MER_BEA,MercerUniversity,TeamExclusive,Team,20240919-MercerUniversity-Private-1,7957fa00-76bd-11ef-a93d-79a75762a6fc,94.54427,,,9.74643,,,,,,,b0d043aa-ff66-4445-909c-9bbe98edb212,9/19/24,19:29:22,2024-09-19T15:29:22.2512498-04:00,2024-09-19T19:29:22.2512498Z,,v3,471354,471354,,,,Undefined,MER_BEA,f863e083-fc4c-4cd0-92e4-f022f6a82739,53.66025,-138.20921,17.99566,4.2064,-5.31643,-4.57588,-1.23594,3.35888,-1.47745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,
